Emp_ID,First_Name,Last_Name,Phone_Number,Hire_date,Termination_Date,Gender,Manager_ID,Salary
101,Syed,Abbas,2958472842,2/15/2006,,M,102,25000
102,Catherine,Abel,2457979674,3/3/2007,,F,105,65000
103,Kim,Abercrombie,5096471743,12/12/2001,,M,105,35o00
104,Hazem,Abolrous,1124578917,1/5/2008,,M,109,30000
105,Sam,Acevedo,6952569086,2/6/2009,,M,112,65000
106,Humberto,Achong,9983206927,2/24/2010,,M,112,20000
107,Gustavo,Ackerman,1349691181,3/12/2010,,M,112,34000
108,Pilar,Adams,8119941469,1/30/2011,1/10/2016,M,112,3a0000
,Aaron,Adina,6587979034,2/17/2003,,M,102,45000
109,Adam,Agbonile,8793421543,6/4/2003,,M,102,40000
110,Alex,Agcaoili,9740269035,1/5/2012,,M,102,25000
111,Alexandra,Aguilar,4801685286,1/11/2012,,M,102,34000
112,Allison,Ahlering,4862287824,1/23/2013,5/20/2015,F,102,65000
113,Amanda,Ajenstat,42487730,1/30/2005,,F,102,20000
114,Amber,Akers,56920285,2/18/2005,,F,102,34000
115,Andrea,Alameda,24756624,1/20/2016,,F,102,25000
116,Angel,Alan,2530228766,2/26/2001,,F,102,65000
117,Bailey,Alberts,2229694614,3/10/2016,,F,102,20000
118,Ben,Albrecht,5254131844,3/17/2015,,M,116,34000
119,Blake,Albright,3234032737,2/7/2014,,M,116,25000
