Emp_ID,First_name,Last_name,Phone_Number,Hire_date,Termination_date,Gender,Manager_ID,Salary
101,Syed,Abbas K.,2958472842,2/15/2006,,M,102,25000
102,Catherine,Abell,2457979674,03-03-2007,,F,105,65000
103,Kim,Abercrombie,5096471643,12-12-2001,,M,105,35000
104,Hazem,Abolrous,9124578917,01-05-2008,,M,109,30000
105,Sam,Acevedo,6952569086,02-06-2009,,M,112,65000
106,Humberto,Achong,9983206927,2/24/2010,,M,112,20000
120,Megan,Bischoff,6587979034,2/17/2003,,M,112,34000
121,Janaina,Bishop,8793421543,06-04-2003,,M,112,300000
122,Jauna,Black,9740269035,01-05-2012,,M,102,45000
123,Kern,Blackwell,4801685286,01-11-2012,,M,102,40000
124,Duane,Blanco,2530228766,2/26/2001,,F,102,25000
125,Sylvester,Blanton,2229694614,03-10-2016,,F,102,34000
126,Geraldine,Blue,5254131844,3/17/2015,,M,102,65000
127,Kristen,Blythe,3234032737,02-07-2014,,M,102,20000
